review_id,movie_id,summary,content,ground_truth_subjectivity,ground_truth_polarity,sarcasm_score,sarcasm_label,sarcasm_triggers
rw3391899,tt0478970,Deserves to be crushed under a shoe,"Okay, enough already! Another formulaic load of old tripe featuring boring, cocksure, dumb and supposedly somehow charming hero blessed with super powers he doesn't deserve and boring us all to death through two turgid hours of special effects and a plot you could write on the back of a postage stamp. (Iron Man, Green Lantern, et al. anybody?) This one thinks it's a bit of a comedy...except the lame jokes are sign posted about a mile away and deserve to be punctuated with a ba-dumb-tish on the snare drum.  Ant Man. A lousy idea and a lousy film. 2 hours of my life I will never get back. And the threat at the end?: ""Ant Man will return!"" Don't bother!!",SUBJECTIVE,NEGATIVE,0.125,not_sarcastic,multiple_question_marks
rw4836840,tt0478970,omg classic 10 year old film,"After seeing how many people thought this was a great film ,i watch it. It would have to be the dullest movie of all time. Nothing is great about it,lame humor,woopedah super hero fights ,big deal. I rated it a 1 because its absolute garbage It doesnt peak at any point, fight scenes are rather weak ,the best part was the end",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw3278832,tt0478970,Big disappointment,"Me and my kids have enjoyed all of the Marvel films so far, so we went to see Ant Man as soon as we could. Big mistake. I was bored, my kids were bored and kept asking if we could go home. Everything about it is just downer and not what you want from a superhero film. Some of it really isn't appropriate for kids either.   Everybody in the cinema seemed disappointed, we heard a lot of grumbling as we left (and no, it wasn't just about my kids complaining, they were still pretty quiet).  Wish we'd seen something else and we'll have to be more careful about Marvel films in future.",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw4581027,tt5095030,Completely forgettable,"If someone ever asks me what is the story of the movie...I honestly wouldn't know what to tell them. The movie has no point. I just wanted to watch a movie with good CG and at least a half decent story. The CG was good but the story was absolutely forgettable. Watch only if you have watched every other movie in the world and can't think of absolutely anything else to watch and don't have anything available to watch. Watch a Logan Paul Vlog instead, but don't waste your time with this.",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw4372367,tt5095030,Tired of Female Superheroes,"In this movie:  Antman and a bunch of girls who can take on 10 musclebound men. Girls who weight 120 lbs dripping wet beating the hell out of 10 men each 1 vs 10. How many times do we have to have this crammed down our throats? I am so tired of female leads and girly-men. Womyn superheroes with no background and who are all of a sudden master martial artists high-kicking 10 guys in a row in the face and knocking them all out ITS NOT FUN TO WATCH. It's cheesy and ridiculous and not at all realistic. Why no strong male leads anymore? Brawl on Cell Block 99 is by far the best movie this year, hands-down. Tired. of. it. Paul Rudd the girly-man is our male lead here... You can see every ""twist"" coming a mile away... predictable crappy movie with an agenda... Really lame.",SUBJECTIVE,NEGATIVE,0.5,possible_sarcasm,"positive_negative_conflict, multiple_question_marks, all_caps_emphasis"
rw4240903,tt5095030,"Waste of time, worst ever marvel movie","If marvel made ant man miss latest avengers for this crap, then they really need to focus on one movie at a time. No grip over script, unnecessary science and boring dialogues. We were really thinking of leaving the hall midway through movie, but finished in hope that end might be saviour, but no. Utter disappointment!",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw9086849,tt10954600,And I thought Wakanda Forever was bad..,"This version of Ant-Man was just bad. So are we to believe that this entire story takes place in Hank Pym's basement, only at a microscopic level? The genius ""peanut"" builds a quantum realm device and finds the exact world that her grandmother lived in. Plus peanut helps the evil tyrant escape to the real world? (who knows? Who cares?). It's the third Marvel movie I've watched where I almost got up and left, and was thinking of the negative review I was going to write.. WHILE I was watching the movie. I kept looking at my watch wishing the ending would come soon. I reluctantly sat through the ending credits. I wish I wouldn't have.",SUBJECTIVE,NEGATIVE,0.5,possible_sarcasm,"phrase:\bgenius\b, multiple_question_marks"
rw9002962,tt10954600,Disappointment,"Stan Lee would be embarrassed. Poor character development, weak story, the end of Marvel? Need to get back to good stories and end the Woke influence. Marvel will not be able to retain good actors if this continues and what was an initial strong story line will continue to decline. Need to bring regular people in play rather than every minority known to man. This could signal a return to books where individual imagination is developed without the influence of weird people. I will not spend another cent on this franchise until it proves to reflect every day normal interactions between real people.",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw9061238,tt10954600,Horrible movie,"I thought the second one was bad - this was even worse. Even Paul Rudd can't save this piece of bloated crap. Thankfully it is a shorter movie, and one hour in I was ready to bail - the trailer made this look so good but it is not.  The acting is so bad, the writing is bad and even the special effects are just horrible. I can't believe this movie made over $400 million worldwide - stop supporting movies that are insulting to the moviegoer - this crap needs to stop.  If this is what Marvel thinks we need to see I will never watch another Marvel movie again. I'm so disappointed that Disney has ruined these movies.",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw3227781,tt2395427,Start.Breakup.Makeup.Hulk Stops Bad Guy.Fight Army.Win.,"Sounds kinda familiar doesn't it?  That doesn't mean its bad. Its just a bit disappointing. It was great cinema, enjoyed every second. But thats why it gets the 6 point rating.   ->Good VFX? Check. ->Funny? Check. ->Nice memorable scenes? Check. -> Scarlett Johansson? Checkity Check Check.   ->Awesome plot? Nope.   I wasn't hooked onto the story as much I was hooked on to Tony Starks sarcasm. There were no serious motives anywhere, or a point to the story much. Kind of uneven, and no real character development.   Remember how the first movie's ending fight scene gave everybody a really vital role to culminate into an ultimate win? This one didn't. Hell, the ending fight scene didn't even really need all the heroes of The Avengers much. Plus, their win was kinda weird as well.   WAT THE FRUCK WAS UP WITH NATASHA AND THE HULK? LIKE SERIOUSLY WUT?   The affection and lullaby stuff was nice, but really really out of the blue. There was no development towards this in any of the previous marvel movies.   Also, remember the end of the previous film of this installment? Where the question was whether or not the avengers were right for the world. This one didn't really provoke any development or thoughts.  As I mentioned above, great cinema, go and watch it, in 3D. They did everything. They just didn't go over the top like I had hoped they would.  Disappointing Marvel.",SUBJECTIVE,NEGATIVE,0.75,sarcastic,"positive_negative_conflict, contrast_flip, multiple_question_marks, all_caps_emphasis"
rw3318565,tt2395427,Expensive special effects B-movie,"Why spend money on watching the Avengers: Age of Ultron? It's a completely unoriginal story, a waste of time and a total rip-off from Transformers, Iron Man and the first Avengers movie. The action scenes happens way too fast and often, an obvious attempt to cover up a week screenplay. Sad to say it also mocks people standing up for clean language â€“ Captain America's famous line ""Language!"" kept getting a lot of heat from the obnoxious Iron Man. Speaking of Iron Man, they might as well have called this movie Iron Man 4 â€“ it's all about him and his major blunder of creating artificial intelligence â€“ apparently there are not enough villains in the world, so let's invent our own. If you're looking for an awesome sequel with same integrity (clean language) then Avengers: Age of Ultron is not for you. Just watch the first Avengers movie again, or Captain America 1 and 2 â€“ the action is basically the same.",SUBJECTIVE,NEGATIVE,0.25,not_sarcastic,positive_negative_conflict
